QK_GENERATED_POLICY_DEBUG loaded=bench/qk-policy-cap-20260612/32b-1536mb/policy.json entries=449
Q4K_PRIMITIVE_DEBUG installed=112 skipped_total=595 not_q4_k=322 policy_fused=272 policy_missing=1
Q4K_PRIMITIVE_DEBUG installed_linears blk.0.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.1.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.2.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.3.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.4.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.5.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.6.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] blk.7.attn_k.weight:parts=4:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=32)'] ...+104
Q6K_PRIMITIVE_DEBUG installed=32 skipped_total=675 not_q6_k=642 policy_fused=33
Q6K_PRIMITIVE_DEBUG installed_linears blk.0.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.1.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.2.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.3.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.4.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.5.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.6.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] blk.7.attn_v.weight:parts=2:opts=['Opt(op=OptOps.LOCAL, axis=0, arg=64)'] ...+24
using model "Qwen3 32B Awq Compatible Instruct" with 19,762,149,024 bytes and 32,762,123,264 params
scheduled     3 kernels in    12.36 ms | CACHE MISS 50c9ac64 |   47654 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   357.74 ms | CACHE MISS fe198419 |   69856 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   250.55 ms | CACHE MISS 019a16cd |   71234 uops in cache | <frozen runpy>:88
scheduled   977 kernels in  4286.55 ms | CACHE MISS 4063148b |   79485 uops in cache | <frozen runpy>:88
memory reduced from 7359.63 MB -> 70.00 MB, 1928 -> 1 bufs
scheduled    20 kernels in   216.10 ms | CACHE MISS fdea76a4 |  100559 uops in cache | <frozen runpy>:88
scheduled    21 kernels in   152.42 ms | CACHE MISS 19ae0c46 |  101068 uops in cache | <frozen runpy>:88
scheduled    20 kernels in   160.13 ms | CACHE MISS 2fb5afe6 |  101637 uops in cache | <frozen runpy>:88
scheduled    74 kernels in   137.49 ms | CACHE MISS e3e5204f |  102255 uops in cache | <frozen runpy>:88
memory reduced from 157.04 MB -> 2.16 MB, 1030 -> 1 bufs
scheduled     3 kernels in     1.47 ms |  cache hit 50c9ac64 |  122347 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   185.38 ms | CACHE MISS a35eabb2 |  125850 uops in cache | <frozen runpy>:88
scheduled    25 kernels in   170.87 ms | CACHE MISS 802b4745 |  125875 uops in cache | <frozen runpy>:88
scheduled    74 kernels in   186.84 ms | CACHE MISS 5aa44a14 |  126268 uops in cache | <frozen runpy>:88
JIT captured 1 linears with 2 inputs
memory reduced from 7402.72 MB -> 71.26 MB, 1544 -> 1 bufs
scheduled    20 kernels in     3.08 ms |  cache hit fdea76a4 |  129810 uops in cache | <frozen runpy>:88
scheduled    21 kernels in     1.83 ms |  cache hit 19ae0c46 |  129826 uops in cache | <frozen runpy>:88
scheduled    20 kernels in     1.28 ms |  cache hit 2fb5afe6 |  129874 uops in cache | <frozen runpy>:88
scheduled    74 kernels in     3.83 ms |  cache hit e3e5204f |  129967 uops in cache | <frozen runpy>:88
JIT captured 1 linears with 2 inputs
memory reduced from 161.47 MB -> 3.43 MB, 1240 -> 1 bufs
315.80 ms,   3.17 tok/s,   62.94 GB/s, 19876/23586 MB  --  !ll
258.74 ms,   3.86 tok/s,   75.00 GB/s, 19404/23586 MB  --  !ll\n
346.22 ms,   2.89 tok/s,   56.06 GB/s, 19409/23586 MB  --  !ll\nThe
331.82 ms,   3.01 tok/s,   58.51 GB/s, 19414/23586 MB  --  !ll\nThe sum
237.43 ms,   4.21 tok/s,   81.79 GB/s, 19419/23586 MB  --  !ll\nThe sum of
229.88 ms,   4.35 tok/s,   84.50 GB/s, 19424/23586 MB  --  !ll\nThe sum of the
231.19 ms,   4.33 tok/s,   84.04 GB/s, 19429/23586 MB  --  !ll\nThe sum of the first
232.49 ms,   4.30 tok/s,   83.59 GB/s, 19434/23586 MB  --  !ll\nThe sum of the first $
232.25 ms,   4.31 tok/s,   83.70 GB/s, 19439/23586 MB  --  !ll\nThe sum of the first $n
230.89 ms,   4.33 tok/s,   84.21 GB/s, 19444/23586 MB  --  !ll\nThe sum of the first $n$
232.48 ms,   4.30 tok/s,   83.66 GB/s, 19449/23586 MB  --  !ll\nThe sum of the first $n$ terms
275.59 ms,   3.63 tok/s,   70.59 GB/s, 19453/23586 MB  --  !ll\nThe sum of the first $n$ terms of
289.55 ms,   3.45 tok/s,   67.20 GB/s, 19458/23586 MB  --  !ll\nThe sum of the first $n$ terms of an
302.34 ms,   3.31 tok/s,   64.38 GB/s, 19463/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic
269.16 ms,   3.72 tok/s,   72.33 GB/s, 19468/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence
231.43 ms,   4.32 tok/s,   84.14 GB/s, 19473/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is
230.92 ms,   4.33 tok/s,   84.35 GB/s, 19478/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is
230.65 ms,   4.34 tok/s,   84.47 GB/s, 19483/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 1
233.32 ms,   4.29 tok/s,   83.53 GB/s, 19488/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 10
237.52 ms,   4.21 tok/s,   82.07 GB/s, 19493/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100
245.94 ms,   4.07 tok/s,   79.28 GB/s, 19498/23586 MB  --  !ll\nThe sum of the first $n$ terms of an arithmetic sequence is 100,
